FIPS code,CBSA 2012 pop,County 2012 pop,2013 code
13243,.,7327,6
13245,575898,202587,3
13247,5457831,85820,2
13249,36544,4990,5
13251,.,14202,6
13253,.,8947,6
13255,5457831,63865,2
13257,25891,25891,5
13259,.,6042,6
13261,36544,31554,5
13263,.,6517,6
13265,.,1680,6
13267,.,25384,6
13269,.,8420,6
13271,.,16349,6
13273,157399,9045,4
13275,44724,44724,5
13277,41064,41064,5
13279,36228,27315,5
13281,.,10495,6
13283,.,6769,6
13285,68468,68468,5
13287,.,8410,6
13289,232723,8447,4
13291,.,21451,6
13293,26630,26630,5
13295,537889,68094,3
13297,5457831,84575,2
13299,54665,35821,5
13301,.,5578,6
13303,.,20879,6
13305,30305,30305,5
13307,.,2793,6
13309,.,7888,6
13311,.,27556,6
13313,142751,103359,4
13315,.,9068,6
13317,.,10076,6
13319,.,9577,6
13321,157399,21741,4
15001,189191,189191,5
15003,976372,976372,3
15005,158316,90,4
15007,68434,68434,5
15009,158316,158226,4
16001,637896,409061,3
16003,.,3915,6
16005,83800,83800,4
16007,.,5907,6
16009,.,9117,6
16011,45474,45474,5
16013,27500,21146,5
16015,637896,6835,3
16017,40476,40476,5
16019,136108,106684,4
16021,.,10808,6
16023,136108,2740,4
16025,27500,1077,5
16027,637896,193888,3
16029,.,6787,6
16031,43286,23249,5
16033,.,869,6
16035,.,8590,6
16037,.,4331,6
16039,26223,26223,5
16041,128306,12786,4
16043,50413,12957,5
16045,637896,16673,3
16047,.,15291,6
16049,.,16308,6
16051,136108,26684,4
16053,101094,22499,5
16055,142357,142357,4
16057,38184,38184,5
16059,.,7758,6
16061,.,3889,6
16063,27500,5277,5
16065,50413,37456,5
16067,43286,20037,5
16069,61419,39531,4
16071,.,4215,6
16073,637896,11439,3
16075,53269,22639,5
16077,.,7778,6
16079,.,12702,6
16081,31727,10052,5
16083,101094,78595,5
16085,.,9545,6
16087,.,10099,6
17001,77371,67197,5
17003,97080,7748,4
17005,2795794,17644,2
17007,346009,53940,3
17009,.,6914,6
17011,153182,34323,5
17013,2795794,5014,2
17015,.,15011,6
17017,.,13338,6
17019,233788,203276,4
17021,34638,34638,5
17023,.,16209,6
17025,.,13766,6
17027,2795794,38061,2
17029,64623,53655,5
17031,9522434,5231351,1
17033,.,19600,6
17035,64623,10968,5
17037,9522434,104704,2
17039,188715,16434,4
17041,.,19853,6
17043,9522434,927987,2
17045,.,18191,6
17047,.,6684,6
17049,34353,34353,5
17051,.,22014,6
17053,233788,14008,4
17055,.,39407,6
17057,36651,36651,5
17059,.,5430,6
17061,.,13576,6
17063,9522434,50281,2
17065,.,8370,6
17067,61477,18891,5
17069,.,4258,6
17071,47383,7043,5
17073,382630,50155,3
17075,.,29240,6
17077,126745,60071,4
17079,.,9614,6
17081,38720,38720,5
17083,2795794,22742,2
17085,.,22549,6
17087,.,12760,6
17089,9522434,522487,2
17091,113040,113040,4
17093,9522434,118105,2
17095,52247,52247,5
17097,9522434,702120,2
17099,153182,112973,5
17101,.,16604,6
17103,35037,35037,5
17105,38647,38647,5
17107,30013,30013,5
17109,32537,32537,5
17111,9522434,308145,2
17113,188715,172281,4
17115,110122,110122,4
17117,2795794,47231,2
17119,2795794,267883,2
17121,38894,38894,5
17123,380447,12327,3
17125,.,14327,6
17127,98539,15234,5
17129,211993,12722,4
17131,382630,16219,3
17133,2795794,33357,2
17135,.,29620,6
17137,40562,35272,5
17139,.,14933,6
17141,52848,52848,5
17143,380447,187254,3
17145,.,22058,6
17147,233788,16504,4
17149,.,16308,6
17151,.,4272,6
17153,.,5998,6
17155,153182,5886,5
17157,.,32956,6
17159,.,16176,6
17161,382630,147457,3
17163,2795794,268858,2
17165,.,24946,6
17167,211993,199271,4
17169,.,7457,6
17171,40562,5290,5
17173,.,22196,6
17175,380447,5946,3
17177,46959,46959,5
17179,380447,135949,3
17181,.,17647,6
17183,80727,80727,4
17185,.,11727,6
17187,.,17731,6
17189,.,14598,6
17191,.,16574,6
17193,.,14568,6
17195,57846,57846,5
17197,9522434,682518,2
17199,126745,66674,4
17201,346009,292069,3
17203,380447,38971,3
18001,34365,34365,5
18003,421406,360412,3
18005,79129,79129,4
18007,206412,8804,4
18009,.,12502,6
18011,1928982,58944,2
18013,1928982,15083,2
18015,206412,20095,4
18017,38581,38581,5
18019,1251351,111951,2
18021,172493,26837,4
18023,33022,33022,5
18025,.,10665,6
18027,32064,32064,5
18029,2128603,49831,2
18031,26042,26042,5
18033,42321,42321,5
18035,117364,117364,4
18037,54837,42071,5
18039,199619,199619,4
18041,24029,24029,5
18043,1251351,75283,2
18045,.,17119,6
18047,.,22969,6
18049,.,20737,6
18051,.,33458,6
18053,69330,69330,5
18055,.,32940,6
18057,1928982,289495,2
18059,1928982,70933,2
18061,1251351,39134,2
18063,1928982,150434,2
18065,49345,49345,5
18067,82849,82849,4
18069,36987,36987,5
18071,43083,43083,5
18073,9522434,33456,2
18075,.,21366,6
18077,32554,32554,5
18079,28161,28161,5
18081,1928982,143191,2
18083,38122,38122,5
18085,77609,77609,5
18087,.,37521,6
18089,9522434,493618,2
18091,111246,111246,4
18093,46078,46078,5
18095,1928982,130348,2
18097,1928982,918977,1
18099,47024,47024,5
18101,.,10260,6
18103,36486,36486,5
18105,162399,141019,4
18107,38254,38254,5
18109,1928982,69356,2
18111,9522434,14044,2
18113,47582,47582,5
18115,2128603,6079,2
18117,.,19690,6
18119,162399,21380,4
18121,.,17069,6
18123,.,19462,6
18125,54837,12766,5
18127,9522434,165682,2
18129,313433,25599,3
18131,.,13124,6
18133,1928982,37750,2
18135,.,25815,6
18137,.,28583,6
18139,.,17095,6
18141,318586,266344,3
18143,1251351,23791,2
18145,1928982,44471,2
18147,.,20837,6
18149,.,23213,6
18151,34124,34124,5
18153,172493,21188,4
18155,.,10424,6
18157,206412,177513,4
18159,.,15695,6
18161,2128603,7362,2
18163,313433,180858,3
18165,172493,16040,4
18167,172493,108428,4
18169,32361,32361,5
18171,.,8342,6
18173,313433,60463,3
18175,1251351,27921,2
18177,68346,68346,5
18179,421406,27652,3
18181,.,24426,6
18183,421406,33342,3
19001,.,7481,6
19003,.,3911,6
19005,.,14237,6
19007,.,12700,6
19009,.,5910,6
19011,261761,25827,3
19013,168747,131820,4
19015,26195,26195,5
19017,168747,24479,4
19019,.,20942,6
19021,20592,20592,5
19023,.,14986,6
19025,.,9909,6
19027,.,20631,6
19029,.,13723,6
19031,.,18416,6
19033,51307,43788,5
19035,.,11946,6
19037,.,12276,6
19039,.,9370,6
19041,16599,16599,5
19043,.,17835,6
19045,48717,48717,5
19047,.,17309,6
19049,588999,71967,3
19051,44055,8689,5
19053,.,8253,6
19055,.,17574,6
19057,47383,40340,5
19059,16972,16972,5
19061,95097,95097,4
19063,.,10120,6
19065,.,20793,6
19067,.,16056,6
19069,.,10554,6
19071,.,7147,6
19073,.,9153,6
19075,168747,12448,4
19077,588999,10777,3
19079,.,15344,6
19081,.,11134,6
19083,.,17302,6
19085,885624,14548,3
19087,.,20236,6
19089,.,9563,6
19091,.,9729,6
19093,.,7108,6
19095,.,16189,6
19097,.,19712,6
19099,36602,36602,5
19101,16867,16867,5
19103,158231,136317,4
19105,261761,20639,3
19107,.,10374,6
19109,.,15346,6
19111,61477,35617,5
19113,261761,215295,3
19115,.,11278,6
19117,.,8760,6
19119,.,11757,6
19121,588999,15654,3
19123,22443,22443,5
19125,.,33419,6
19127,40857,40857,5
19129,885624,14837,3
19131,.,10725,6
19133,.,9124,6
19135,.,8063,6
19137,.,10566,6
19139,42879,42879,5
19141,.,14172,6
19143,.,6193,6
19145,.,15713,6
19147,.,9275,6
19149,168921,24907,4
19151,.,7150,6
19153,588999,443710,3
19155,885624,92913,3
19157,.,18736,6
19159,.,5096,6
19161,.,10153,6
19163,382630,168799,3
19165,.,12069,6
19167,.,34268,6
19169,91140,91140,4
19171,.,17536,6
19173,.,6208,6
19175,.,12594,6
19177,.,7449,6
19179,44055,35366,5
19181,588999,46891,3
19183,158231,21914,4
19185,.,6344,6
19187,37273,37273,5
19189,.,10600,6
19191,.,21061,6
19193,168921,102323,4
19195,51307,7519,5
19197,.,12991,6
20001,.,13319,6
20003,.,7917,6
20005,16813,16813,5
20007,.,4861,6
20009,27557,27557,5
20011,.,14897,6
20013,.,9881,6
