	horizon_1	horizon_2	horizon_3	horizon_4	horizon_5	horizon_6	horizon_7	horizon_8	horizon_9	horizon_10	increase
25023	418.56543188829016	425.9121726726022	435.07667740792823	444.5018435848795	453.49316145778096	462.46417436274993	470.07553375361175	475.7293749324145	481.3508993878914	488.92040884044985	70.35497695215969
34029	555.2242253064089	562.5485369383041	577.1343567624308	586.7206167975897	595.1665218305059	602.5958088112583	608.5932533155989	613.7177175238176	618.3595714509158	624.7540392619917	69.52981395558277
25013	466.60372784036105	475.0129302665616	487.5749135249855	495.126860028981	501.7302493332822	508.88124657821714	514.0401537738356	520.9500041939899	525.8837775034657	534.4305191478636	67.82679130750256
17043	255.92562287033505	262.8359875057953	271.67859792740194	279.7172875604215	287.1866559161548	293.17634598091206	297.64215753546534	303.78747426998467	311.78829845818484	321.93790983847066	66.01228696813561
55079	236.51224184386828	243.97154716781833	252.91074129089017	260.45930478524843	267.07820619613875	272.07423701612663	277.4384182407231	283.80551138480615	290.345229158782	301.95616791036895	65.44392606650067
44007	206.96104967728732	211.55995307012742	217.17054045332964	227.2063190552984	235.97783427522145	245.3255664171922	256.2537238999824	261.3444943862962	266.4629949214549	271.1120465390027	64.15099686171536
29189	271.7823339399467	275.3602027749885	285.50695411716	294.1422679340559	303.24191066896975	311.69542995121475	315.7476035644524	322.52293146273894	326.878166273498	334.93475194824987	63.15241800830319
48113	149.06257978702405	157.0887080479584	164.27662516066292	171.1862371214423	180.1796802013128	187.32518722299548	192.01554460539654	196.98391264596464	202.90244799074256	209.46265468497336	60.40007489794931
34021	347.00120055339744	353.3437612698719	363.64363063751495	371.6692875287527	379.03615844038706	385.0107675598981	389.4559975139448	394.7124329267492	398.7781722907008	406.0155401887571	59.01433963535965
53033	514.4513047179687	520.9665437427221	528.4656914331246	533.962703734321	540.0929229233244	546.9028957931268	553.1463036264444	558.4723067329833	564.1994470536263	570.5925280517346	56.14122333376588
48439	108.23551671474644	114.94139277892704	121.48617753313955	127.34577019177277	134.95075273014317	141.35770820232003	145.73128507144543	150.8432047981816	156.47952814613302	163.7948140455032	55.55929733075675
12011	265.84496511830963	269.37961133947624	278.2358598520318	286.84448331485106	292.6484151457522	297.31419806346975	300.53323284846067	305.3551049113129	309.11681795848324	318.28981115494025	52.44484603663062
06065	221.60631938582046	226.35904599309976	234.70926180442302	242.057278610675	248.10368241462922	251.7708862341925	255.39556035841093	260.07855042002024	265.0563179924857	271.4221625001157	49.815843114295234
04019	137.28037798751637	142.49072419527917	149.36768032133492	154.98536167546794	161.81746405393633	165.48141390738775	168.15988047105523	173.167821440821	178.6390693747166	186.71218899457475	49.43181100705837
39095	169.46904268063778	178.51413322574717	184.25489139945535	190.14513465919444	194.80763676644855	197.77083799390087	200.6843506974909	205.0323724966188	210.35786342674507	217.7249364181385	48.25589373750071
06073	178.57155764631904	185.28275646081622	190.6792238323449	197.5942348356729	202.2788325444464	205.74813060251185	209.23967870822915	213.5658788671622	219.6083866000135	225.82066006597566	47.24910241965662
42029	190.65395624710115	193.79293275574213	201.81494350466122	207.7902076076029	213.68722946672418	217.86027276081066	220.61667074571923	224.19421622536564	228.28287300656004	236.23280369108855	45.5788474439874
22051	407.44309321163524	411.5519239006539	417.1474150250568	421.51660494558797	427.92549490202765	432.64931853804194	439.8994725878595	443.9812571250305	448.19391082947527	452.8750291865102	45.43193597487493
34027	521.7229912352932	525.7442821315868	533.0612897771056	538.8003029796171	543.6238618478305	547.7256344928035	552.0737490341161	556.3946517428485	561.1337198985797	566.0288584203429	44.30586718504969
17197	205.6113588484073	211.75520084742396	218.03814228074984	223.97267413343062	229.21811807326498	232.27753539296455	235.04895529179356	238.7746130549793	243.8701613012468	249.87091246988356	44.25955362147627
34005	204.60186374355976	208.6540745455067	216.04046648100928	222.35670744759904	227.8587093903715	232.15712241918618	235.18473376044872	238.7416082173495	242.9779141785066	248.6470501577149	44.045186414155125
34025	449.83622636643406	453.40349604531866	458.2923306511723	463.94033262665914	468.64158531908265	472.2752063972645	477.6579210800862	482.65821914229093	487.8316049666277	493.7772152704445	43.94098890401045
17097	177.9351611392194	184.23149514416448	191.81785289815593	196.85456629395054	201.16316773700052	204.21608215328766	206.1715855700715	210.78705272392074	215.66134846904527	221.74064217239152	43.80548103317213
22071	475.7840243330156	479.261405754987	484.4227130435605	487.79880659955796	494.0838996999686	499.2378968653648	505.50393282988176	510.39925086303134	514.326564201946	518.8079777639541	43.02395343093849
08031	217.03206055826035	221.36507380448126	227.24357260936955	232.14968675166722	234.9450202329918	237.99937390548342	242.385125201602	248.50296877364852	253.05526062766873	259.41676548576316	42.38470492750281
48201	177.24134569959895	181.175656671261	187.1807146355919	191.83505929637516	198.05870381700691	203.84415041979528	207.35802363341463	210.98405809284304	214.07904185820715	218.4182483880946	41.17690268849566
36087	458.4243109004941	462.60505515515837	466.77685450954147	471.563194804011	476.17599368534155	481.0730855552742	485.4065459659042	489.43138054138757	494.26182136022084	498.5963784583411	40.172067557847015
39109	31.818248484142938	34.48386887059282	38.05631608964734	42.61906081632622	46.231636249111965	51.24287100603368	53.63817903475765	56.87903429644119	67.44156641418319	70.7711835104083	38.952935026265365
06071	121.5673215056469	125.00923822400235	131.20192368931706	135.9914968592194	138.7545455422451	141.56909640015365	145.12060843339268	149.6056219596717	154.47356936317982	158.86943032212272	37.30210881647582
34035	338.91011376740653	341.85636872229935	350.00618431979	354.62611587880264	357.76969754464915	361.91772525402	364.88288280308285	367.69701236446315	370.5940922802362	374.454242595127	35.5441288277205
22033	192.39515821996267	194.87413786014181	200.5764447951379	204.13729484115032	209.29298123035082	212.8712916539103	217.64526959676527	220.9866538577955	223.5307590334511	227.44688445898348	35.05172623902081
42095	163.85600920379278	166.73510229690135	171.54228639811396	177.64580243313253	181.11089518631545	183.20228744943924	185.1832927296543	188.35835831682184	191.66535766906526	198.63703247316073	34.78102326936795
42011	173.41155601652417	176.3106663392289	182.71657991881156	187.78639351260847	191.2886904589894	194.67330428027526	196.8159940849327	199.03860161601415	202.1006195383274	207.92668887872907	34.515132862204894
36055	144.61683084308018	148.3060529821561	152.6982051001244	157.6034686621219	160.71852053864927	164.75911380338195	169.78373449502408	172.84714437131035	175.74887485106117	178.6749194073388	34.05808856425861
51153	57.408587109243065	60.416614795467424	64.81764613767403	70.32468997738361	73.79048370013125	78.19366664397835	81.26509497713458	83.34456623607062	85.81646812697782	90.67357235740322	33.26498524816015
19153	65.06409032346806	69.61517039137831	73.18364615982233	76.45038519792814	80.04309759487364	83.20369621133389	88.67310492274137	91.07210399987152	94.48399402996553	98.12538642013175	33.06129609666368
42071	170.74406117145992	173.3840483535476	179.42817396879735	184.92449652058346	188.21329122649098	190.40768334218797	192.5881002937816	194.72265954323095	197.81444997709556	203.79845827203374	33.05439710057382
01097	93.81184756957859	96.99131958146059	100.8019692245344	103.81566281341215	106.49973005625826	108.82253858438169	112.97268408904293	116.46797409864517	120.54944440976564	124.09124612239542	30.27939855281683
35045	75.95175060489376	80.9081105837451	82.96176553707551	85.84898177094729	90.70372161569006	94.72802770344823	97.43337981839699	100.28875140498455	102.86643708117003	105.97881643755107	30.027065832657314
53077	66.70528038551016	68.66136616615135	72.2431197308931	76.1981902552156	79.8243251198559	83.02580709885773	86.2735054095591	89.05865699432182	93.54600154877812	96.41590315598417	29.710622770474004
34001	80.23451842975112	84.4597426799022	88.8925064780764	93.32052920841984	97.03719449040368	99.76454770436463	101.89585552729771	104.01821665437254	105.90282363537898	109.21398891394416	28.979470484193044
