countyFIPS,PopulationEstimate2018,Rural-UrbanContinuumCode2013,increase,increase_scaled
1131,10627,9,0.44181680439399784,41.57493219102266
2020,291538,2,1.6878260718343432,5.789386192655308
2090,98971,3,0.08275948798482125,0.8361993713797097
2122,58533,7,0.1486983549970351,2.540419165206552
2170,107610,2,0.07177346253629313,0.666977627881174
2195,3221,9,0.07177346253629313,22.282975019029223
4001,71818,6,1.5876056283551963,22.10595711876126
4005,142854,3,7.7582441276982195,54.30890368976871
4012,21098,6,8.881784197001252e-16,4.209775427529269e-14
4013,4410824,1,10.605927723037354,2.4045229923110405
4015,209550,3,3.3325344000829666,15.903289907339376
4017,110445,4,4.626719473041867,41.89161549225285
4019,1039073,2,4.5088738597597455,4.339323473672923
4021,447138,1,5.858899163289411,13.10311170888945
4025,231993,3,0.2322463480678092,1.0010920504834593
4027,212128,3,1.4208081508386914,6.697881236039992
5011,10897,7,0.1486983549970351,13.645806643758382
5023,24965,6,0.43577229879926627,17.45532941314906
5029,20891,6,0.0,0.0
5035,48342,1,1.5678592903435984,32.432652565959174
5043,18328,6,0.07177346253629313,3.9160553544463736
5057,21741,6,0.0,0.0
5069,68114,3,5.083555885684506,74.63305466841626
5073,6682,8,0.0,0.0
5075,16434,6,-1.6478419549506524,-100.27029055316129
5077,8985,7,0.0,0.0
5091,43592,3,0.1486983549970351,3.4111386262854446
5107,18029,6,0.0,0.0
5119,392680,2,1.966590140352647,5.008124020455961
5125,121421,2,0.7617295898720438,6.273458379292246
5141,16603,8,2.220446049250313e-15,1.3373764074265573e-13
5143,236961,2,0.3442125858823686,1.4526128176466533
5145,78727,4,0.2820888539868154,3.583127186185367
6001,1666753,1,13.712690182524376,8.227187941179272
6013,1150215,1,7.354291884284368,6.393841050833426
6019,994400,2,4.715725745527635,4.742282527682658
6025,181827,3,3.3658238390007487,18.51113332453788
6027,17987,7,0.2311444133449163,12.8506373127768
6029,896764,2,6.850311460206388,7.638923351301333
6031,151366,3,1.2854547424477136,8.492361180500994
6037,10105518,1,26.834205490546083,2.6554012857674474
6039,157672,3,0.168943542395398,1.0714872798936907
6041,259666,1,2.438442590535068,9.390688771479779
6051,14250,7,0.2311444133449163,16.220660585608165
6053,435594,2,0.3684608299670913,0.8458813251952306
